latitude,longitude
-9.6154,-68.6737
-9.6100,-68.6674
-9.6020,-68.6645
-9.5969,-68.6581
-9.5887,-68.6595
-9.5865,-68.6546
-9.5754,-68.6478
-9.5762,-68.6408
-9.5709,-68.6328
-9.5698,-68.6223
-9.5596,-68.6099
-9.5429,-68.6078
-9.5340,-68.6156
-9.5281,-68.6126
-9.5259,-68.6059
-9.5240,-68.6045
-9.5154,-68.6095
-9.5083,-68.6072
-9.5029,-68.6095
-9.4896,-68.6056
-9.4537,-68.5820
-9.4557,-68.5769
-9.4542,-68.5692
-9.4550,-68.5637
-9.4519,-68.5589
-9.4504,-68.5520
-9.4383,-68.5498
-9.4273,-68.5546
-9.4271,-68.5482
-9.4189,-68.5432
-9.4154,-68.5387
-9.4203,-68.5284
-9.4198,-68.5100
-9.4309,-68.4872
-9.4313,-68.4782
-9.4383,-68.4743
-9.4429,-68.4549
-9.4536,-68.4322
-9.4566,-68.4158
-9.4501,-68.3900
-9.4434,-68.3798
-9.4330,-68.3707
-9.4333,-68.3657
-9.4373,-68.3585
-9.4353,-68.3521
-9.4295,-68.3420
-9.4224,-68.3392
-9.4219,-68.3333
-9.4168,-68.3282
-9.4187,-68.3237
-9.4131,-68.3169
-9.4089,-68.3146
-9.4087,-68.3060
-9.4024,-68.3005
-9.4095,-68.2845
-9.4043,-68.2755
-9.4047,-68.2718
-9.4097,-68.2635
-9.4065,-68.2480
-9.4021,-68.2423
-9.3881,-68.2353
-9.3863,-68.2299
-9.3884,-68.2170
-9.3973,-68.1991
-9.3987,-68.1895
-9.3896,-68.1861
-9.3837,-68.1716
-9.3737,-68.1703
-9.3760,-68.1657
-9.3720,-68.1595
-9.3745,-68.1537
-9.3723,-68.1413
-9.3695,-68.1379
-9.3620,-68.1354
-9.3581,-68.1316
-9.3566,-68.1236
-9.3588,-68.1128
-9.3401,-68.0965
-9.3237,-68.0870
-9.3217,-68.0824
-9.3222,-68.0799
-9.3266,-68.0758
-9.3265,-68.0691
-9.3181,-68.0632
-9.3170,-68.0543
-9.3102,-68.0368
-9.3057,-68.0297
-9.3049,-68.0244
-9.3066,-68.0068
-9.3091,-68.0044
-9.3124,-67.9938
-9.3113,-67.9904
-9.3162,-67.9864
-9.3169,-67.9824
-9.3162,-67.9803
-9.3103,-67.9824
-9.3044,-67.9820
-9.2974,-67.9742
-9.2945,-67.9609
-9.2994,-67.9541
-9.2982,-67.9362
-9.2716,-67.9029
-9.2712,-67.8919
-9.2730,-67.8834
-9.2756,-67.8798
-9.2822,-67.8767
-9.2833,-67.8743
-9.2815,-67.8686
-9.2772,-67.8627
-9.2796,-67.8570
-9.2854,-67.8537
-9.2779,-67.8444
-9.2705,-67.8253
-9.2612,-67.8198
-9.2615,-67.8088
-9.2552,-67.7944
-9.2599,-67.7849
-9.2573,-67.7771
-9.2579,-67.7711
-9.2479,-67.7612
-9.2379,-67.7622
-9.2331,-67.7532
-9.2281,-67.7500
-9.2242,-67.7438
-9.2203,-67.7417
-9.2141,-67.7426
-9.2029,-67.7537
-9.1954,-67.7525
-9.1909,-67.7499
-9.1892,-67.7427
-9.1851,-67.7349
-9.1754,-67.7253
-9.1779,-67.7164
-9.1847,-67.7110
-9.1849,-67.7063
-9.1808,-67.7033
-9.1724,-67.7015
-9.1670,-67.6973
-9.1610,-67.6865
-9.1512,-67.6762
-9.1538,-67.6660
